Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,300000,1972,01,5.8,Y
IDCJAC0002,300000,1972,02,0.5,Y
IDCJAC0002,300000,1972,03,-4.4,Y
IDCJAC0002,300000,1972,04,-8.9,Y
IDCJAC0002,300000,1972,05,-16.5,Y
IDCJAC0002,300000,1972,06,-10.7,Y
IDCJAC0002,300000,1972,07,-15.8,Y
IDCJAC0002,300000,1972,08,-8.7,Y
IDCJAC0002,300000,1972,09,-13.0,Y
IDCJAC0002,300000,1972,10,-11.0,Y
IDCJAC0002,300000,1972,11,-2.4,Y
IDCJAC0002,300000,1972,12,1.2,Y
IDCJAC0002,300000,1973,01,3.1,Y
IDCJAC0002,300000,1973,02,-0.8,Y
IDCJAC0002,300000,1973,03,-8.3,Y
IDCJAC0002,300000,1973,04,-11.1,Y
IDCJAC0002,300000,1973,05,-11.4,Y
IDCJAC0002,300000,1973,06,-10.1,Y
IDCJAC0002,300000,1973,07,-17.8,Y
IDCJAC0002,300000,1973,08,-14.3,Y
IDCJAC0002,300000,1973,09,-8.9,Y
IDCJAC0002,300000,1973,10,-7.3,Y
IDCJAC0002,300000,1973,11,-0.5,Y
IDCJAC0002,300000,1973,12,0.8,Y
IDCJAC0002,300000,1974,01,5.1,Y
IDCJAC0002,300000,1974,02,-0.4,Y
IDCJAC0002,300000,1974,03,-6.4,Y
IDCJAC0002,300000,1974,04,-9.6,Y
IDCJAC0002,300000,1974,05,-13.0,Y
IDCJAC0002,300000,1974,06,-10.0,Y
IDCJAC0002,300000,1974,07,-12.4,Y
IDCJAC0002,300000,1974,08,-11.4,Y
IDCJAC0002,300000,1974,09,-14.6,Y
IDCJAC0002,300000,1974,10,-4.6,Y
IDCJAC0002,300000,1974,11,-0.4,Y
IDCJAC0002,300000,1974,12,4.7,Y
IDCJAC0002,300000,1975,01,5.2,Y
IDCJAC0002,300000,1975,02,-0.9,Y
IDCJAC0002,300000,1975,03,-7.0,Y
IDCJAC0002,300000,1975,04,-11.7,Y
IDCJAC0002,300000,1975,05,-8.9,Y
IDCJAC0002,300000,1975,06,-11.4,Y
IDCJAC0002,300000,1975,07,-15.0,Y
IDCJAC0002,300000,1975,08,-16.9,Y
IDCJAC0002,300000,1975,09,-15.7,Y
IDCJAC0002,300000,1975,10,-9.2,Y
IDCJAC0002,300000,1975,11,-0.8,Y
IDCJAC0002,300000,1975,12,2.2,Y
IDCJAC0002,300000,1976,01,3.8,Y
IDCJAC0002,300000,1976,02,-0.4,Y
IDCJAC0002,300000,1976,03,-7.7,Y
IDCJAC0002,300000,1976,04,-10.1,Y
IDCJAC0002,300000,1976,05,-16.3,Y
IDCJAC0002,300000,1976,06,-11.6,Y
IDCJAC0002,300000,1976,07,-13.1,Y
IDCJAC0002,300000,1976,08,-18.2,Y
IDCJAC0002,300000,1976,09,-14.0,Y
IDCJAC0002,300000,1976,10,-6.5,Y
IDCJAC0002,300000,1976,11,-1.8,Y
IDCJAC0002,300000,1976,12,4.5,Y
IDCJAC0002,300000,1977,01,5.7,Y
IDCJAC0002,300000,1977,02,0.1,Y
IDCJAC0002,300000,1977,03,-7.1,Y
IDCJAC0002,300000,1977,04,-10.5,Y
IDCJAC0002,300000,1977,05,-11.9,Y
IDCJAC0002,300000,1977,06,-12.1,Y
IDCJAC0002,300000,1977,07,-14.1,Y
IDCJAC0002,300000,1977,08,-13.1,Y
IDCJAC0002,300000,1977,09,-17.6,Y
IDCJAC0002,300000,1977,10,-11.2,Y
IDCJAC0002,300000,1977,11,-4.8,Y
IDCJAC0002,300000,1977,12,1.7,Y
IDCJAC0002,300000,1978,01,1.6,Y
IDCJAC0002,300000,1978,02,-0.6,Y
IDCJAC0002,300000,1978,03,-4.6,Y
IDCJAC0002,300000,1978,04,-8.9,Y
IDCJAC0002,300000,1978,05,-11.6,Y
IDCJAC0002,300000,1978,06,-10.5,Y
IDCJAC0002,300000,1978,07,-13.7,Y
IDCJAC0002,300000,1978,08,-19.6,Y
IDCJAC0002,300000,1978,09,-13.9,Y
IDCJAC0002,300000,1978,10,-13.7,Y
IDCJAC0002,300000,1978,11,-2.1,Y
IDCJAC0002,300000,1978,12,2.5,Y
IDCJAC0002,300000,1979,01,2.3,Y
IDCJAC0002,300000,1979,02,-1.3,Y
IDCJAC0002,300000,1979,03,-7.0,Y
IDCJAC0002,300000,1979,04,-9.3,Y
IDCJAC0002,300000,1979,05,-13.1,Y
IDCJAC0002,300000,1979,06,-14.7,Y
IDCJAC0002,300000,1979,07,-17.5,Y
IDCJAC0002,300000,1979,08,-14.6,Y
IDCJAC0002,300000,1979,09,-11.8,Y
IDCJAC0002,300000,1979,10,-9.1,Y
IDCJAC0002,300000,1979,11,-2.5,Y
IDCJAC0002,300000,1979,12,3.4,Y
IDCJAC0002,300000,1980,01,2.7,Y
IDCJAC0002,300000,1980,02,-2.0,Y
IDCJAC0002,300000,1980,03,-4.0,Y
IDCJAC0002,300000,1980,04,-7.6,Y
IDCJAC0002,300000,1980,05,-16.7,Y
IDCJAC0002,300000,1980,06,-16.4,Y
IDCJAC0002,300000,1980,07,-8.4,Y
IDCJAC0002,300000,1980,08,-14.2,Y
IDCJAC0002,300000,1980,09,-10.6,Y
IDCJAC0002,300000,1980,10,-9.3,Y
IDCJAC0002,300000,1980,11,0.4,Y
IDCJAC0002,300000,1980,12,2.3,Y
IDCJAC0002,300000,1981,01,2.7,Y
IDCJAC0002,300000,1981,02,-0.9,Y
IDCJAC0002,300000,1981,03,-5.0,Y
IDCJAC0002,300000,1981,04,-12.9,Y
IDCJAC0002,300000,1981,05,-12.8,Y
IDCJAC0002,300000,1981,06,-12.1,Y
IDCJAC0002,300000,1981,07,-12.7,Y
IDCJAC0002,300000,1981,08,-9.3,Y
IDCJAC0002,300000,1981,09,-11.7,Y
IDCJAC0002,300000,1981,10,-11.7,Y
IDCJAC0002,300000,1981,11,-2.8,Y
IDCJAC0002,300000,1981,12,1.6,Y
IDCJAC0002,300000,1982,01,2.6,Y
IDCJAC0002,300000,1982,02,-0.5,Y
IDCJAC0002,300000,1982,03,-9.5,Y
IDCJAC0002,300000,1982,04,-15.0,Y
IDCJAC0002,300000,1982,05,-12.2,Y
IDCJAC0002,300000,1982,06,-18.6,Y
IDCJAC0002,300000,1982,07,-12.3,Y
IDCJAC0002,300000,1982,08,-22.4,Y
IDCJAC0002,300000,1982,09,-19.2,Y
IDCJAC0002,300000,1982,10,-9.6,Y
IDCJAC0002,300000,1982,11,-2.3,Y
IDCJAC0002,300000,1982,12,3.7,Y
IDCJAC0002,300000,1983,01,3.9,Y
IDCJAC0002,300000,1983,02,-0.3,Y
IDCJAC0002,300000,1983,03,-6.0,Y
IDCJAC0002,300000,1983,04,-8.2,Y
IDCJAC0002,300000,1983,05,-10.2,Y
IDCJAC0002,300000,1983,06,-11.9,Y
IDCJAC0002,300000,1983,07,-17.5,Y
IDCJAC0002,300000,1983,08,-12.9,Y
IDCJAC0002,300000,1983,09,-10.2,Y
IDCJAC0002,300000,1983,10,-10.5,Y
IDCJAC0002,300000,1983,11,-5.3,Y
IDCJAC0002,300000,1983,12,1.1,Y
IDCJAC0002,300000,1984,01,4.6,Y
IDCJAC0002,300000,1984,02,-0.8,Y
IDCJAC0002,300000,1984,03,-5.8,Y
IDCJAC0002,300000,1984,04,-8.5,Y
IDCJAC0002,300000,1984,05,-11.8,Y
IDCJAC0002,300000,1984,06,-14.9,Y
IDCJAC0002,300000,1984,07,-15.7,Y
IDCJAC0002,300000,1984,08,-13.0,Y
IDCJAC0002,300000,1984,09,-11.3,Y
